shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
5998950,1.0,0.0,0.0,0.0,6.0,0.0,30.0,643.0,2802.0,138842.0,4.0,1,0.9,5998950,0,0.8119116327923376
6044805,0.0,0.0,0.0,0.0,1.0,0.0,1.0,302.0,1128.0,405.0,5.0,0,0.91,6044805,0,0.80791934985067
6084720,0.0,0.0,0.0,0.0,20.0,0.0,2.0,247.0,1086.0,405.0,4.1992481203007515,0,0.93,6084720,0,0.7910867573249691
6098130,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,999.0,405.0,4.601503759398497,0,0.95,6098130,0,0.7910867573249691
6101235,0.0,0.0,0.0,0.0,20.0,0.0,1.0,269.0,993.0,405.0,4.819548872180451,0,0.94,6101235,0,0.7910867573249691
6143175,0.0,0.0,0.0,0.0,6.0,0.0,1.0,247.0,1632.0,2030.0,4.0,1,0.5,6143175,0,0.7910867573249691
6207975,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1721.0,4104.0,2589.0,4.0,0,0.52,6207975,0,0.7910867573249691
6211575,0.0,0.0,0.0,0.0,6.0,0.0,25.0,995.0,2691.0,3395.0,1.0,1,0.82,6211575,0,0.7910867573249691
6262020,0.0,0.0,0.0,0.0,6.0,0.0,3.0,456.0,1455.0,3850.0,4.0,1,0.63,6262020,0,0.7910867573249691
6274170,0.0,0.0,0.0,0.0,20.0,1.0,3.0,247.0,1074.0,405.0,3.8947368421052637,0,0.9,6274170,0,0.7910867573249691
6314805,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1011.0,405.0,3.9999999999999996,0,0.93,6314805,0,0.7910867573249691
6508935,0.0,0.0,0.0,0.0,8.0,0.0,1.0,412.0,1053.0,405.0,5.0,0,0.97,6508935,0,0.7910867573249691
6583995,0.0,0.0,0.0,0.0,8.0,0.0,9.0,599.0,7191.0,5540.0,4.0,0,0.69,6583995,0,0.7910867573249691
6726645,0.0,0.0,0.0,0.0,20.0,0.0,2.0,247.0,1059.0,405.0,2.9962406015037595,0,0.93,6726645,0,0.7910867573249691
6778710,0.0,0.0,0.0,0.0,14.0,0.0,3.0,511.0,1158.0,522.0,4.0,0,0.96,6778710,0,0.7910867573249691
