shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex
319144995,0.0,0.0,0.0,0.0,20.0,0.0,30.0,2656.0,37068.0,193247.0,5.0,1,0.72,319144995
319170690,0.0,0.0,0.0,1.0,13.0,0.0,6.0,1204.0,1233.0,1458.0,4.0,3,0.3,319170690
319171680,0.0,0.0,0.0,0.0,20.0,0.0,1.0,280.0,6186.0,535.0,4.0,0,0.86,319171680
319349115,0.0,0.0,0.0,0.0,6.0,0.0,4.0,302.0,981.0,405.0,4.0,0,0.92,319349115
319409775,0.0,0.0,0.0,0.0,0.0,0.0,4.0,577.0,1047.0,704.0,4.0,0,0.84,319409775
319639230,0.0,0.0,0.0,0.0,20.0,0.0,7.0,269.0,981.0,405.0,5.0,0,0.94,319639230
319654800,0.0,0.0,1.0,0.0,0.0,0.0,3.0,874.0,6459.0,9063.0,4.0,1,0.49,319654800
319674915,0.0,0.0,0.0,1.0,20.0,0.0,1.0,368.0,6582.0,444.0,4.0,0,0.81,319674915
319689450,0.0,0.0,0.0,0.0,8.0,0.0,1.0,258.0,987.0,431.0,5.0,0,0.96,319689450
319758165,0.0,0.0,0.0,0.0,5.0,0.0,7.0,368.0,1479.0,405.0,5.0,0,0.92,319758165
319831830,0.0,0.0,0.0,0.0,15.0,0.0,9.0,786.0,2193.0,756.0,4.0,0,0.81,319831830
319891050,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1011.0,405.0,5.0,0,0.95,319891050
319931865,0.0,0.0,0.0,0.0,3.0,0.0,4.0,390.0,996.0,405.0,5.0,0,0.99,319931865
320109435,0.0,0.0,0.0,0.0,6.0,0.0,5.0,456.0,990.0,405.0,5.0,0,0.97,320109435
320238765,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5109.0,3699.0,16993.0,4.0,1,0.69,320238765
320263020,0.0,0.0,0.0,0.0,5.0,0.0,2.0,324.0,1101.0,613.0,4.0,0,0.96,320263020
320286105,0.0,0.0,0.0,0.0,20.0,0.0,29.0,1402.0,3549.0,6580.0,4.0,1,0.69,320286105
320305725,0.0,0.0,0.0,0.0,15.0,0.0,4.0,1776.0,2157.0,1783.0,4.0,0,0.36,320305725
320309325,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1138.0,1050.0,938.0,5.0,2,0.51,320309325
