shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs
20123370,0,0,0,0,9,0,1,269,1227,405,2,0,0.95
20168910,0,0,0,0,20,0,2,247,999,405,4.345864662,0,0.93
20235150,0,0,0,0,20,0,1,247,1059,405,3.060150376,0,0.93
20307060,0,0,0,0,1,0,1,676,1176,405,3,0,0.89
20443095,0,0,0,0,8,0,1,280,1023,457,5,0,0.91
20516130,1,0,0,0,6,0,30,511,325212,280893,4,1,0.77
20747115,0,0,0,0,8,0,2,665,1254,1133,5,0,0.86
20775105,0,0,0,0,8,0,8,445,3825,405,4,0,0.87
20776050,0,0,0,0,8,0,26,511,1872,3629,4,1,0.84
20850075,0,0,0,0,3,0,9,302,1038,405,5,0,0.96
20876400,0,0,0,0,8,0,7,269,1188,405,4,0,0.91
20879370,0,0,0,0,20,0,2,247,1062,405,4.263157895,0,0.93
20926935,0,0,0,0,20,0,1,247,1023,405,2,0,0.92
20948400,0,0,0,0,8,0,2,280,1002,405,5,0,0.96
21022740,0,0,0,0,20,0,1,379,1107,405,5,0,0.95
21036330,0,0,0,0,20,1,1,247,1023,405,3.142857143,0,0.89
21171420,0,0,0,0,6,0,1,291,1152,405,4,0,0.91
21207240,0,0,0,0,9,0,1,247,2595,457,4,0,0.82
21309660,0,0,0,0,6,0,1,434,1578,418,5,0,0.92
21434310,0,0,0,0,7,0,1,269,1068,405,5,0,0.95
21514680,0,0,0,0,6,0,29,808,1536,5150,4,1,0.84
21758355,0,0,0,0,6,0,2,247,1149,405,0,0,0.92
21815640,0,0,0,0,20,0,1,357,1176,405,5,0,0.94
21882375,0,0,0,0,20,0,1,247,1017,405,3.37593985,0,0.93
21957120,0,0,0,0,0,0,1,291,1143,405,4,0,0.85
22012245,0,0,0,0,6,0,17,522,1563,405,5,0,0.86
22034790,0,0,0,0,8,0,8,313,1155,613,3,0,0.94
22098510,0,0,0,0,20,0,1,247,1023,405,0,0,0.92
22216770,0,0,0,0,8,0,3,555,1251,405,5,0,0.9
22274415,0,0,0,0,20,0,1,247,1041,405,3.601503759,0,0.92
22340655,1,0,0,0,1,0,25,5109,92946,199110,4,1,0.95
22491135,0,0,0,0,20,0,2,247,1146,405,5,0,0.94
22631625,0,0,0,0,20,0,1,247,993,405,4.439849624,0,0.92
22673115,0,0,1,0,1,0,29,951,4578,11689,5,1,0.94
22695840,0,0,0,0,10,0,1,467,2031,990,4,0,0.87
22719870,0,0,0,0,0,0,1,291,1059,405,4.909774436,0,0.88
22743045,0,0,0,0,8,0,1,291,1575,418,5,0,0.88
22823055,0,0,0,0,3,0,3,269,996,405,4,0,0.94
22838400,0,0,0,0,7,0,1,654,1476,405,4,0,0.95
22878585,0,0,0,0,13,0,1,258,1398,418,4,0,0.92
22926465,0,0,0,0,6,0,1,291,1002,405,4.838345865,0,0.95
22986360,0,0,0,0,8,0,3,731,9027,2329,4,0,0.84
23007915,0,0,0,0,5,0,19,643,11625,2394,4,0,0.78
23031810,0,0,0,0,8,0,1,489,996,405,2,0,0.98
23071950,0,0,0,0,8,0,10,302,1035,405,5,0,0.9
23103000,0,0,0,0,20,0,1,247,1380,405,3.184210526,0,0.89
23136030,0,0,0,0,8,0,1,258,1041,405,5,0,0.93
23188500,0,0,0,0,8,0,2,577,5805,665,4,0,0.95
23463945,0,0,0,0,8,0,7,577,1032,678,4,0,0.93
23479020,0,0,0,0,3,0,6,247,1005,496,4,0,0.97
23569425,0,0,0,0,6,0,9,280,999,535,5,0,0.97
